
Using Euler methods:

     i    xi          Forward                 Backward                Trapezoidal             

     0    0.000000    1.0                     1.0                     1.0                     
     1    0.210000    -1.1                    0.4363871               0.06165854              
     2    0.420000    1.5627999999999997      0.36838294              0.25664247              
     3    0.630000    -1.0134799999999995     0.46025256              0.42398433              
     4    0.840000    2.173227999999999       0.60369437              0.59200038              
     5    1.050000    -0.9793507999999989     0.76377238              0.75999999              
     6    1.260000    2.8412858799999983      0.9292169               0.928                   
     7    1.470000    -1.008614467999998      1.09639255              1.096                   
     8    1.680000    3.5790759147999975      1.26412663              1.264                   
     9    1.890000    -1.1145835062799985     1.43204085              1.432                   
    10    2.100000    4.401241856907998       1.60001318              1.6                     
    11    2.310000    -1.3133660425987967     1.76800425              1.768                   
    12    2.520000    5.325502646858676       1.93600137              1.936                   
    13    2.730000    -1.6244529115445445     2.10400044              2.104                   
    14    2.940000    6.373298202698999       2.27200014              2.272                   
