
Using Forward Euler method:

     i    xi          y                       

     0    0.000000    0                       
     1    0.100000    0.1                     
     2    0.200000    0.2                     
     3    0.300000    0.30800000000000005     
     4    0.400000    0.4338000000000001      
     5    0.500000    0.5900000000000001      
     6    0.600000    0.7933520000000001      
     7    0.700000    1.0666162000000001      
     8    0.800000    1.4411332000000001      
     9    0.900000    1.9604080480000001      
    10    1.000000    2.6851202898000004      
    11    1.100000    3.7001405252            
    12    1.200000    5.124367740312          
    13    1.300000    7.1245300702001995      
    14    1.400000    9.934552855554          
    15    1.500000    13.882745541597886      
    16    1.600000    19.429968461368382      
    17    1.700000    27.223217629349875      
    18    1.800000    38.170858874307804      
    19    1.900000    53.54826051353734       
    20    2.000000    75.14610914311879       
    21    2.100000    105.47865715113521      
    22    2.200000    148.07612056415365      
    23    2.300000    207.89523241295893      
    24    2.400000    291.89569811490105      
    25    2.500000    409.849593509076        
    26    2.600000    575.4778370224985       
    27    2.700000    808.0459056086672       
    28    2.800000    1134.6043733567142      
    29    2.900000    1593.134843422931       
    30    3.000000    2236.967139596404       
    31    3.100000    3140.9814690772387      
    32    3.200000    4410.316857064208       
    33    3.300000    6192.598628756602       
    34    3.400000    8695.10697340354        
    35    3.500000    12208.88326418839       
    36    3.600000    17142.57765653924       
    37    3.700000    24069.974381005486      
    38    3.800000    33796.72183866246       
    39    3.900000    47454.02809176215       
    40    4.000000    66630.21837038666       
    41    4.100000    93555.4545017276        
    42    4.200000    131361.09880670998      
    43    4.300000    184443.88602893974      
    44    4.400000    258977.25585076667      
    45    4.500000    363629.3130686953       
    46    4.600000    510570.9129337211       
    47    4.700000    716891.1102085485       
    48    4.800000    1006584.5861774085      
    49    4.900000    1413342.1878740278      
    50    5.000000    1984469.1143316752      
