
Using Forward Euler method:

     i    xi          x                       y                       

     0    3.000000    3                       1                       
     1    3.100000    2.5                     1.1                     
     2    3.200000    2.11                    1.1300000000000001      
     3    3.300000    1.801                   1.115                   
     4    3.400000    1.5522999999999998      1.0721                  
     5    3.500000    1.3490499999999999      1.01291                 
     6    3.600000    1.1805309999999998      0.945233                
     7    3.700000    1.0389480999999998      0.8742395               
     8    3.800000    0.9185824299999998      0.8032864099999999      
     9    3.900000    0.8151945849999999      0.7344873709999999      
    10    4.000000    0.7256044050999999      0.6691093552999999      
    11    4.100000    0.6473944596099999      0.6078479247499999      
    12    4.200000    0.5787003601629999      0.5510177857609999      
    13    4.300000    0.5180620667064999      0.4986842646250999      
    14    4.400000    0.4643180798277099      0.4507536183707299      
    15    4.500000    0.4165298256992409      0.40703470267935493     
    16    4.600000    0.3739273308273282      0.36728074471340805     
    17    4.700000    0.3358699391332034      0.3312173288534593      
    18    4.800000    0.30181768419190863     0.29856085699608775     
    19    4.900000    0.2713102330531357      0.26903045401606107     
    20    5.000000    0.24395123184411466     0.2423553865181624      
    21    5.100000    0.21939652412710797     0.21827943239894138     
    22    5.200000    0.19734516254158052     0.1965631983318639      
    23    5.300000    0.1775324498664508      0.17698507491964915     
    24    5.400000    0.15972446738512555     0.1593413049223644      
    25    5.500000    0.14371370440033687     0.14344549067640408     
    26    5.600000    0.1293155125879099      0.12912776298115694     
    27    5.700000    0.11636518636844362     0.11623376164371654     
    28    5.800000    0.10471552525912654     0.10462352795181759     
    29    5.900000    0.094234773002483       0.09417037488736672     
    30    6.000000    0.08480485589072306     0.08475977721014168     
