y' = (-x + y)/(x + y)

_____________________ h = 0.100000 _____________________
     x     	      RK1 Euler	       RK2 Heun	    RK2Midpoint	    RK3 Simpson	       RK3 Heun	    RK4 Classic	        RK4 3/8	    RK 6 stages
    0.0000	       1.000000	       1.000000	       1.000000	       1.000000	       1.000000	       1.000000	       1.000000	       1.000000	
    0.1000	       1.100000	       1.091667	       1.090909	       1.091119	       1.091113	       1.091128	       1.091127	       1.091127	
    0.2000	       1.183333	       1.168728	       1.167517	       1.167831	       1.167790	       1.167843	       1.167842	       1.167842	
    0.3000	       1.254418	       1.234629	       1.233103	       1.233476	       1.233392	       1.233490	       1.233488	       1.233488	
    0.4000	       1.315818	       1.291489	       1.289720	       1.290130	       1.290003	       1.290145	       1.290144	       1.290143	
    0.5000	       1.369193	       1.340729	       1.338759	       1.339195	       1.339024	       1.339211	       1.339209	       1.339209	
    0.6000	       1.415694	       1.383361	       1.381215	       1.381671	       1.381458	       1.381687	       1.381685	       1.381685	
    0.7000	       1.456161	       1.420135	       1.417829	       1.418301	       1.418047	       1.418317	       1.418316	       1.418315	
    0.8000	       1.491231	       1.451627	       1.449172	       1.449657	       1.449364	       1.449674	       1.449673	       1.449672	
    0.9000	       1.521399	       1.478291	       1.475693	       1.476191	       1.475859	       1.476208	       1.476206	       1.476206	
    1.0000	       1.547062	       1.500491	       1.497755	       1.498263	       1.497894	       1.498281	       1.498279	       1.498278	
