,3.15
1,1.9816621
1.1,2.1396966
1.2,2.2873427
1.3,2.4241245
1.4,2.5496744
1.5,2.6637371
1.6,2.7661721
1.7,2.8569552
1.8,2.9361783
1.9,3.0040491
2,3.0608886
2.1,3.1071281
2.2,3.1433047
2.3,3.170056
2.4,3.1881141
2.5,3.1982976
2.6,3.201504
2.7,3.1987003
2.8,3.1909137
2.9,3.1792213
3,3.164739
3.1,3.1486107
3.2,3.1319967
3.3,3.1160621
3.4,3.1019654
3.5,3.0908465
3.6,3.0838158
3.7,3.0819426
3.8,3.0862449
3.9,3.0976787
4,3.1171291
4.1,3.1454009
4.2,3.1832106
4.3,3.2311798
4.4,3.2898283
4.5,3.3595693
4.6,3.440705
4.7,3.5334241
4.8,3.6377992
4.9,3.7537866
5,3.8812266
5.1,4.0198451
5.2,4.169256
5.3,4.3289659
5.4,4.498378
5.5,4.6767988
5.6,4.8634447
5.7,5.0574501
5.8,5.2578756
5.9,5.4637178
6,5.6739192
6.1,5.8873788
6.2,6.1029627
6.3,6.3195162
6.4,6.5358748
6.5,6.7508757
6.6,6.9633699
6.7,7.1722335
6.8,7.3763786
6.9,7.5747648
7,7.766409
7.1,7.9503954
7.2,8.125885
7.3,8.2921234
7.4,8.4484489
7.5,8.5942986
7.6,8.7292145
7.7,8.8528476
7.8,8.9649618
7.9,9.0654362
8,9.1542658
8.1,9.2315625
8.2,9.2975529
8.3,9.3525769
8.4,9.397084
8.5,9.4316285
8.6,9.4568645
8.7,9.473539
8.8,9.4824845
8.9,9.4846109
9,9.480896
9.1,9.4723762
9.2,9.4601357
9.3,9.445296
9.4,9.4290046
9.5,9.4124234
9.6,9.3967172
9.7,9.3830422
9.8,9.3725341
9.9,9.366297
10,9.3653926
10.1,9.370829
10.2,9.383551
10.3,9.4044306
10.4,9.4342586
10.5,9.4737358
10.6,9.5234672
10.7,9.5839549
10.8,9.6555938
10.9,9.7386672
11,9.8333443
11.1,9.9396782
11.2,10.0576057
11.3,10.1869476
11.4,10.3274107
11.5,10.4785908
11.6,10.6399765
11.7,10.8109544
11.8,10.9908154
11.9,11.1787614
12,11.3739139
12.1,11.575322
12.2,11.7819725
12.3,11.9927998
12.4,12.2066965
12.5,12.4225247
12.6,12.6391269
12.7,12.8553383
12.8,13.0699975
12.9,13.281959
13,13.4901041
13.1,13.6933523
13.2,13.8906718
13.3,14.0810904
13.4,14.2637047
13.5,14.437689
13.6,14.6023043
13.7,14.7569049
13.8,14.9009452
13.9,15.0339853
14,15.1556949
14.1,15.2658572
14.2,15.3643707
14.3,15.4512502
14.4,15.5266267
14.5,15.5907464
14.6,15.6439677
14.7,15.686758
14.8,15.7196889
14.9,15.7434307
15,15.7587451
